collection_item_link,title,abstract,transcript_url,in_collections,copyright_status,date_published,authors,subjects,material_type,publishers,language,pages,part_of,issn,permalink,filename,start_page,end_page,transcript_length
https://d.lib.msu.edu/jamr/259,Advertisements,No abstract found,https://d.lib.msu.edu/jamr/259/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1994,,"World Summit on Television and Children (1995 : Melbourne, Vic.)

Television and children (/search?fq=subject_display:World%5C%20Summit%5C%20on%5C%20Television%5C%20and%5C%20Children%5C%20%5C%281995%5C%20%5C%3A%5C%20Melbourne%2C%5C%20Vic.%5C%29)",Advertisements (/search?fq=genre_aat:Advertisements),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Unpaged,Africa media review. Vol. 8 no. 2 (1994),0258-4913,https://n2t.net/ark:/85335/m5td9rb0h (https://n2t.net/ark:/85335/m5td9rb0h),africa_media_review_pdfs/jamr_259.pdf,0,0,1861
https://d.lib.msu.edu/jamr/10,Africa and the information superhighway : silent majorities in search of a footpath,"This paper emphasises the role that communication technology plays in the present day world. It embraces Marshall McLuhan's idea of ""the global village"" as a result of the communication technological strides. The paper states that the term information superhighway incorporates all the existing networks into one system, but at the same time it is multi dimensional, unlike the traffic highway which projects two directions of movement. It moves to underscore pluralism that exists as a result of advanced information technology. This rush towards information technology, is largely interlinked to economic factors. The paper advocates for research in indigenous communication to augment modern communication. It argues that Africa's potential in indigenous knowledge and practices remains largely untapped, adding that information and knowledge can be effectively transmitted using indigenous forms of communication, which are characterised by simplicity of technology and directness of interaction. The paper ends with an assertion that indigenous forms of communication should be integrated with modern communication systems for sustainable development.",https://d.lib.msu.edu/jamr/10/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1996,"Nyamnjoh, Francis B., 1961- (/search?fq=name_author:Nyamnjoh%2C%5C%20Francis%5C%20B.%2C%5C%201961%5C-)","Indigenous peoples--Communication

Information superhighway

Africa (/search?fq=subject_display:Indigenous%5C%20peoples%5C-%5C-Communication)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 1-21,Africa media review. Vol. 10 no. 2 (1996),0258-4913,https://n2t.net/ark:/85335/m5t72bj1b (https://n2t.net/ark:/85335/m5t72bj1b),africa_media_review_pdfs/jamr_10.pdf,1,21,43278
https://d.lib.msu.edu/jamr/284,Africa's image in the local pess : an analysis of African news in some Nigerian newspapers,"In the wake of accusations and counter-accusations between the West and developing nations over the unbalanced nature of information flow, communication researchers and policy formulation groups have, over the years, been enticed to make decisions based on empirical findings. In this paper, the author presents findings of a study conducted on four leading Nigerian newspapers over a one-year period. His conclusion is that the media in Africa are equally to blame for perpetrating a negative image of the continent, and that the continent can only benefit from a new and more equitable international communication order by re-examining her values. The paper warns that devoting undue attention to conflict, crime and disasters at the expense of the region's efforts, policies and programmes aimed at advancing the people's welfare, negates the very principle of balanced reporting which Africa so much craves for.",https://d.lib.msu.edu/jamr/284/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1995,"Emenyeonu, Bernard Nnamdi (/search?fq=name_author:Emenyeonu%2C%5C%20Bernard%5C%20Nnamdi)","Nigerian newspapers

Press coverage

Nigeria

Africa (/search?fq=subject_display:Nigerian%5C%20newspapers)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 82-104,Africa media review. Vol. 9 no. 2 (1995),0258-4913,https://n2t.net/ark:/85335/m5w66db37 (https://n2t.net/ark:/85335/m5w66db37),africa_media_review_pdfs/jamr_284.pdf,82,104,41488
https://d.lib.msu.edu/jamr/136,African communication : problems and prospects,"This article sketches a broad overview of the problems and prospects of Africa communication. Beginning with Africa's economic handicaps which limit its potential to fully exploit the new array of modern communication technologies, it argues that it is class politics which excludes the mass of the African people from communication channels that constitutes the major impediment to communication in Africa. The remedy to this problem is, therefore, to be found in a communication strategy that accords due respect to African cultural traditions in which respect for truth, equality, social justice and the supernatural are the cardinal principles.",https://d.lib.msu.edu/jamr/136/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1989,"Traber, Michael (/search?fq=name_author:Traber%2C%5C%20Michael)","Communication--Political aspects

Classism

Africa (/search?fq=subject_display:Communication%5C-%5C-Political%5C%20aspects)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 86-97,Africa media review. Vol. 3 no. 3 (1989),0258-4913,https://n2t.net/ark:/85335/m5qz25k4g (https://n2t.net/ark:/85335/m5qz25k4g),africa_media_review_pdfs/jamr_136.pdf,86,97,23708
https://d.lib.msu.edu/jamr/134,African news in the world press : a comparative content analysis of a north and a south newspaper,"John Lent (1976) contended that charges of bias in international news flow were 'intuitive, (and) not based on research facts'. This response to Lent's comment empirically confirms that there is indeed a flow bias in international news in favour of the North and that the bias is reflected even in African newspapers due to their dependence on Western News Agencies for their sources of news on other African countries. It suggests that African media organizations should Increase their sourcing of news from PANA to reverse the current trend.",https://d.lib.msu.edu/jamr/134/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1989,"Bosompra, Kwadwo (/search?fq=name_author:Bosompra%2C%5C%20Kwadwo)","Press coverage

Northern Hemisphere

Africa

Southern Hemisphere (/search?fq=subject_display:Press%5C%20coverage)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 58-69,Africa media review. Vol. 3 no. 3 (1989),0258-4913,https://n2t.net/ark:/85335/m53778x5r (https://n2t.net/ark:/85335/m53778x5r),africa_media_review_pdfs/jamr_134.pdf,58,69,19750
https://d.lib.msu.edu/jamr/106,"African print media misuse of the English definite article ""The"" : a content analysis of seven Nigerian newspapers' lead items","The nature, distribution and significance of Nigerian newspapers misuse of the English Article THE' are isolated and discussed in this article. Spanning the period January, February and March, 1986, a total of 78 lead articles (including front and back page news items) from seven Nigerian private and government newspapers are scanned. The results show that The National Concord has the highest manifested frequency of occurrence of the misuse of the definite article ""THE"" in its lead, including front and back page stories. (There were 78 copies of the paper in three months of publication and not less than 78 errors). The National Concord was followed by the New Nigerian newspaper which in 78 issues had 49 errors of the misapplication of the English elliptical rule. The paper with the lowest incidence of the misuse of THE1 was the Daily Star. It was virtually free of the error in question (only 2 errors in 78 issues). The position of occurrence of the linguistic error discussed and their distribution, have a number of implications for the training of the African journalist and for his mastery of the intricate art of writing for effective newspaper communication.",https://d.lib.msu.edu/jamr/106/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1988,"Ayodele, Olumuyiwa (/search?fq=name_author:Ayodele%2C%5C%20Olumuyiwa)","Nigerian newspapers

Journalism--Authorship

English language--Article (/search?fq=subject_display:Nigerian%5C%20newspapers)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 92-109,Africa media review. Vol. 2 no. 3 (1988),0258-4913,https://n2t.net/ark:/85335/m57m0725h (https://n2t.net/ark:/85335/m57m0725h),africa_media_review_pdfs/jamr_106.pdf,92,109,35006
https://d.lib.msu.edu/jamr/105,Agricultural communication and the African non-literate farmer : the Nigerian experience,"This article examines Nigeria's need for improved agricultural production and underscores the strategic importance of the country's rural economy. It profiles the Nigerian non-literate farmer, critically re-examines the concept of literacy and considers the factor of the orally literate in agricultural communication. Of the various factors responsible for poor agricultural production, the article concentrates on the need for effective dissemination of scientific agricultural information. It works at the communication needs of the non-literate farmer and appraises communication and information flow within this environment. It then identifies the various channels by which the rural farmer can be reached and influenced. It submits on a final note that illiteracy in the Western sense does not preclude access to scientifically based agricultural information and adoption of improved agricultural practices.",https://d.lib.msu.edu/jamr/105/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1988,"Soola, E. O. (/search?fq=name_author:Soola%2C%5C%20E.%5C%20O.)","Communication in agriculture

Nigeria (/search?fq=subject_display:Communication%5C%20in%5C%20agriculture)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 75-91,Africa media review. Vol. 2 no. 3 (1988),0258-4913,https://n2t.net/ark:/85335/m5rf5ph7h (https://n2t.net/ark:/85335/m5rf5ph7h),africa_media_review_pdfs/jamr_105.pdf,75,91,32805
https://d.lib.msu.edu/jamr/227,Agriculture on Nigerian television : a critique of current practice,"This article examines the type, objectives and availability of agricultural programmes on Nigerian television based on an examination of the social structure. Agricultural programmes were limited in focus, perspective and range of issues treated. The programmes were mainly concerned with the transfer of technology and ideas to the neglect of other crucial socio-structural issues. Because it has been difficult to get sponsors for agricultural programmes, unlike entertainment programmes which dominate the prime viewing hours, the policy of commercialisation is responsible for the lack of agricultural programmes on Nigerian television.",https://d.lib.msu.edu/jamr/227/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1993,"Oso, Lai (/search?fq=name_author:Oso%2C%5C%20Lai)","Television programs

Agriculture--Information services

Nigeria (/search?fq=subject_display:Television%5C%20programs)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 30-43,Africa media review. Vol. 7 no. 2 (1993),0258-4913,https://n2t.net/ark:/85335/m58k77z7r (https://n2t.net/ark:/85335/m58k77z7r),africa_media_review_pdfs/jamr_227.pdf,30,43,33341
https://d.lib.msu.edu/jamr/7,Alternative media and political change in Africa : analytical schemes for assessing significance and potential,"This paper uses a reassessment of the legacy of Paulo Freire as a point of departure to construct analytical frameworks, based upon insights from development and political communication, for use in assessing the significance and potential of alternative media for political change in Africa. The notion of alternative media is understood as incorporating a variety of dimensions (difference, independence, opposition, and representation) whose importance is determined by the parameters of particular struggles. The paper eschews country-specific analysis and is sceptical of the likely trajectories of the democratization processes (transitions) in Africa.",https://d.lib.msu.edu/jamr/7/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1996,"Masilela, Temba S. B. (/search?fq=name_author:Masilela%2C%5C%20Temba%5C%20S.%5C%20B.)","Freire, Paulo, 1921-1997

Philosophy

Alternative mass media

Democratization

Africa (/search?fq=subject_display:Freire%2C%5C%20Paulo%2C%5C%201921%5C-1997)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 92-114,Africa media review. Vol. 10 no. 1 (1996),0258-4913,https://n2t.net/ark:/85335/m5z895h2j (https://n2t.net/ark:/85335/m5z895h2j),africa_media_review_pdfs/jamr_7.pdf,92,114,44042
https://d.lib.msu.edu/jamr/62,American communication theories and African communication research : need for a philosophy of African communication,"This paper argues the case for a philosophy of communication in Africa so as to give meaning and direction of African communication research. Observing that philosophy as an activity is not alien to Africa, the author contends that it is the absence of a philosophy of communication in Africa that accounts for the lack of theoretical orientation in African communication research. He reviews the major American mass communication theories, and demonstrates that each of them is based on some American philosophy or world view. He then argues that any appropriate philosophy of mass communication in Africa must originate from African philosophy, defined in a fairly broad manner.",https://d.lib.msu.edu/jamr/62/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1987,"Okigbo, Charles (/search?fq=name_author:Okigbo%2C%5C%20Charles)","Communication--Research

Information theory

Africa

United States (/search?fq=subject_display:Communication%5C-%5C-Research)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 18-31,Africa media review. Vol. 1 no. 2 (1987),0258-4913,https://n2t.net/ark:/85335/m5p846z0f (https://n2t.net/ark:/85335/m5p846z0f),africa_media_review_pdfs/jamr_62.pdf,18,31,32779
